A,3.604845,2.213214,3.604986,3.605007,3.038068,3.605265,2.780875,3.927134,4.316469,0.992880,1.035197,-0.328834,-3.364507,-5.300101,-4.394420
A,2.213648,3.605069,3.605087,3.605104,3.039447,2.780206,3.351375,4.519619,2.954111,1.015476,-0.347349,-1.859026,-4.706304,-5.166406,-3.639934
A,2.213214,3.604986,3.605007,3.038068,3.605265,2.780875,3.927134,4.316469,0.992880,1.035197,-0.328834,-3.364507,-5.300101,-4.394420,-2.890958
A,3.605069,3.605087,3.605104,3.039447,2.780206,3.351375,4.519619,2.954111,1.015476,-0.347349,-1.859026,-4.706304,-5.166406,-3.639934,-2.150988
A,3.604986,3.605007,3.038068,3.605265,2.780875,3.927134,4.316469,0.992880,1.035197,-0.328834,-3.364507,-5.300101,-4.394420,-2.890958,-2.882486
A,3.605087,3.605104,3.039447,2.780206,3.351375,4.519619,2.954111,1.015476,-0.347349,-1.859026,-4.706304,-5.166406,-3.639934,-2.150988,-2.882864
A,4.413689,3.603327,2.208152,2.208813,3.603851,2.209644,4.421066,6.391385,2.788082,4.333048,2.223630,0.914672,-0.279587,-1.652344,-2.369759
A,3.603069,3.603166,2.207714,2.208380,3.024688,3.604222,5.815249,4.180861,3.954708,3.572490,0.869816,0.324107,-0.261113,-2.390437,-3.748726
A,3.603327,2.208152,2.208813,3.603851,2.209644,4.421066,6.391385,2.788082,4.333048,2.223630,0.914672,-0.279587,-1.652344,-2.369759,-5.140234
A,3.603166,2.207714,2.208380,3.024688,3.604222,5.815249,4.180861,3.954708,3.572490,0.869816,0.324107,-0.261113,-2.390437,-3.748726,-5.840900
A,2.208152,2.208813,3.603851,2.209644,4.421066,6.391385,2.788082,4.333048,2.223630,0.914672,-0.279587,-1.652344,-2.369759,-5.140234,-5.087394
A,2.207714,2.208380,3.024688,3.604222,5.815249,4.180861,3.954708,3.572490,0.869816,0.324107,-0.261113,-2.390437,-3.748726,-5.840900,-4.285427
A,2.208813,3.603851,2.209644,4.421066,6.391385,2.788082,4.333048,2.223630,0.914672,-0.279587,-1.652344,-2.369759,-5.140234,-5.087394,-4.281277
A,2.208380,3.024688,3.604222,5.815249,4.180861,3.954708,3.572490,0.869816,0.324107,-0.261113,-2.390437,-3.748726,-5.840900,-4.285427,-4.276990
A,3.603851,2.209644,4.421066,6.391385,2.788082,4.333048,2.223630,0.914672,-0.279587,-1.652344,-2.369759,-5.140234,-5.087394,-4.281277,-4.272560
A,3.024688,3.604222,5.815249,4.180861,3.954708,3.572490,0.869816,0.324107,-0.261113,-2.390437,-3.748726,-5.840900,-4.285427,-4.276990,-2.853924
